Language,Category,Question,Option A,Option B,Option C,Option D,Answer
Python,File,What is the extension of Python files?,.py,.class,.exe,.jar,A
Python,Keyword,Which keyword is used to define a constant in Python?,const,final,static,immutable,D
Python,Math,What is the output of 10//3 in Python?,3,3.33,3.0,Error,A
Python,Keyword,Which of these is not a Python keyword?,if,else,elif,elseif,D
Python,List,What is the default value of a list in Python?,null,[],None,undefined,B
Python,Loop,Which loop is guaranteed to execute at least once?,for,while,do-while,foreach,A
Python,Features,Which of these is not a feature of Python?,Platform-independent,Object-oriented,Pointer-based,Secure,C
Python,Keyword,What is the use of the 'self' keyword in Python?,Refers to the current object,Refers to the parent class,Refers to a static method,Refers to a local variable,A
Python,Syntax,Which of these is not a valid Python identifier?,_myVar,$myVar,123myVar,myVar123,C
Python,Syntax,What is the output of "Hello" + 5 in Python?,Hello5,Error,Hello 5,5Hello,B
Python,Exception,Which of these is not a valid exception in Python?,IOError,ValueError,FileNotFoundError,MemoryError,D
Python,Keyword,What is the purpose of the 'super' keyword in Python?,Access parent class methods,Access child class methods,Access static methods,Access private methods,A
Python,Syntax,Which of these is not a valid Python operator?,+,*,&,++,D
Python,Array,What is the default value of an int array in Python?,null,0,-1,undefined,B
Python,Loop,Which of these is not a valid Python loop?,for,while,foreach,repeat,D
Python,Keyword,What is the use of the 'global' keyword in Python?,Define constants,Access global variables,Prevent method overriding,All of the above,B
Python,Collection,Which of these is not a valid Python collection?,list,dict,set,Dictionary,D
Python,Math,What is the output of max(5, 10) in Python?,5,10,15,Error,B
Python,Thread,Which of these is not a valid Python thread state?,NEW,RUNNABLE,WAITING,EXECUTING,D
Python,Decorator,What is the purpose of the 'staticmethod' decorator in Python?,Define instance methods,Define class-level methods,Define local methods,Define constants,B
Python,Annotation,Which of these is not a valid Python annotation?,@staticmethod,@classmethod,@property,@Serializable,D
Python,String,What is the output of len("Hello") in Python?,4,5,6,Error,B
Python,Interface,Which of these is not a valid Python interface?,Runnable,Serializable,Cloneable,Thread,D
Python,Decorator,What is the purpose of the 'abstractmethod' decorator in Python?,Define a concrete method,Define an abstract method,Define a static method,Define a final method,B
Python,Stream,Which of these is not a valid Python stream?,FileInputStream,BufferedReader,DataStream,PrintStream,C
Python,Bitwise,What is the output of 5 << 2 in Python?,10,20,40,Error,C
Python,Exception,Which of these is not a valid Python exception handling block?,try,catch,finally,throw,D
Python,Keyword,What is the purpose of the 'with' keyword in Python?,Thread safety,Memory management,Garbage collection,Exception handling,A
Python,File,Which of these is not a valid Python file operation?,Read,Write,Execute,Delete,C
Python,String,What is the output of "Hello"[1:3] in Python?,He,el,llo,Error,B
Python,Date/Time,Which of these is not a valid Python date/time class?,Date,Calendar,datetime,timezone,D
Python,Keyword,What is the purpose of the 'global' keyword in Python?,Thread safety,Memory consistency,Garbage collection,Exception handling,B
Python,Access Specifier,Which of these is not a valid Python access specifier?,public,private,protected,internal,D
Python,String,What is the output of "Hello".upper() in Python?,hello,HELLO,Hello,Error,B
Python,Collection,Which of these is not a valid Python collection framework class?,list,dict,set,vector,D
Python,Keyword,What is the purpose of the 'nonlocal' keyword in Python?,Serialization,Deserialization,Thread safety,Memory management,A
Python,Keyword,Which of these is not a valid Python keyword?,goto,const,strictfp,volatile,B
Python,Math,What is the output of 10 % 3 in Python?,1,2,3,Error,A
Python,Loop,Which of these is not a valid Python loop control statement?,break,continue,return,exit,D
Python,Keyword,What is the purpose of the 'lambda' keyword in Python?,Define native methods,Define static methods,Define final methods,Define anonymous functions,D
Python,File,Which of these is not a valid Python file extension?,.py,.pyc,.pyo,.exe,D
Python,String,What is the output of "Hello"[1] in Python?,H,e,l,Error,B
Python,Thread,Which of these is not a valid Python thread method?,start(),run(),stop(),execute(),D
